Ensemble	ZvDnd		stat. error		syst. AIC		syst. Conv.
A	1.0969529947310803	0.0003504068678983846	0.0005018491991472481	0.007392353724370304
B	1.1241368325742997	0.0004094511807364916	0.0006386739701267429	0.005635912846905011
C	1.1541328165616371	0.00030043272845584886	0.0004346249482464665	0.005453924245676145
D	1.189587083585488	0.0002356560376366118	0.000277428890738333	0.0058440701049888855
E	1.2174001847965126	0.00017294555433749578	0.0003395180255276942	0.005763385292602008

Ensemble	ZvDd		stat. error		syst. AIC		syst. Conv.
A	1.089357116208691	0.0002193409259462668	0.0006761561460091972	0.006565729824461686
B	1.1160734816640567	0.00038308993362322217	0.000058247682646676864	0.005593598770017527
C	1.1450469226696829	0.00025211525792776716	0.00009075384872096573	0.005967248886220355
D	1.1801696701128503	0.0002874126420349837	0.00013419248992613706	0.005695170690025675
E	1.2077567873472066	0.00016002976954922294	0.00026361572234160746	0.0058113443416416555

Ensemble	ZaDnd		stat. error		syst. AIC		syst. Conv.
A	1.0879633380412648	0.0004265287216989867	0.0027080855623319556	0.006411846692520262
B	1.1149019255178132	0.0004503015265193844	0.0012700634628294738	0.005928369456968063
C	1.1471093578454667	0.00042751301221734153	0.00031702018224667364	0.0054082015386509585
D	1.181307268096368	0.0002235456569377753	0.0005621371205688756	0.0059306283720887976
E	1.2106796861816533	0.00019317756120103668	0.00010281863203365139	0.005832192201594699

Ensemble	ZaDd		stat. error		syst. AIC		syst. Conv.
A	1.1135865800303693	0.0004314254278143259	0.0032105371819801443	0.0065511808211045075
B	1.1359359525047263	0.0005468434022195606	0.0017816962100798885	0.006824515900202943
C	1.166475884847506	0.0004340018298903715	0.00030909890121021697	0.007047389121942249
D	1.2001977698613069	0.00034515207464250425	0.00034381536710985047	0.004586923706565216
E	1.2264851339582235	0.0002151160189460043	0.00040559651851063556	0.006189837176669544

Ensemble	ZtDnd		stat. error		syst. AIC		syst. Conv.
A	1.1154490430931197	0.00038587626881977954	0.003101324138621607	0.03332972101562093
B	1.1458397951187638	0.0004434617257378043	0.0009431805758644716	0.031039685207228107
C	1.1822262113683473	0.0003913108709627755	0.0008853544418984265	0.02786895394460176
D	1.221669814437928	0.0002868556055740639	0.0006879457667505964	0.03359545381799278
E	1.2567307953333555	0.00022265907696764468	0.0002131335937679891	0.03397912180770679

Ensemble	ZtDd		stat. error		syst. AIC		syst. Conv.
A	1.1337146385426942	0.00045973444285516676	0.0031736180989759915	0.03292021432341086
B	1.160117794492159	0.0004993135484719683	0.001960219931137503	0.03278237591258004
C	1.1962051915033642	0.0003948402055247442	0.00026075384913065686	0.032559754195284896
D	1.2345347458593132	0.0002565961093321724	0.000504053974243986	0.03381659418759275
E	1.2689788171087917	0.00021795424113358087	0.00020791011297815285	0.034386495096021985
